TimeStep,Channel A,Channel C
0,782.7789,11.741683
1,1174.1683,-3.9138944
2,391.38943,7.827789
3,1174.1683,11.741683
4,1565.5577,7.827789
5,1174.1683,7.827789
6,391.38943,11.741683
7,1565.5577,3.9138944
8,1956.9471,3.9138944
9,1565.5577,3.9138944
10,1174.1683,3.9138944
11,391.38943,7.827789
12,1174.1683,3.9138944
13,391.38943,3.9138944
14,1174.1683,0.0
15,782.7789,11.741683
16,782.7789,15.655578
17,1565.5577,3.9138944
18,782.7789,0.0
19,1565.5577,11.741683
20,1174.1683,7.827789
21,1174.1683,3.9138944
22,391.38943,7.827789
23,1565.5577,7.827789
24,782.7789,7.827789
25,1174.1683,3.9138944
26,782.7789,11.741683
27,1174.1683,11.741683
28,782.7789,7.827789
29,1174.1683,15.655578
30,391.38943,11.741683
31,0.0,11.741683
32,782.7789,3.9138944
33,782.7789,0.0
34,1174.1683,7.827789
35,1174.1683,7.827789
36,782.7789,7.827789
37,1174.1683,7.827789
38,1174.1683,15.655578
39,1565.5577,0.0
40,1565.5577,3.9138944
41,1174.1683,0.0
42,1174.1683,-3.9138944
43,1174.1683,3.9138944
44,391.38943,7.827789
45,782.7789,7.827789
46,391.38943,7.827789
47,782.7789,0.0
48,782.7789,0.0
49,391.38943,7.827789
50,-391.38943,15.655578
51,1174.1683,11.741683
52,1174.1683,3.9138944
53,1174.1683,-3.9138944
54,1174.1683,7.827789
55,782.7789,3.9138944
56,1565.5577,7.827789
57,1174.1683,3.9138944
58,1174.1683,11.741683
59,1174.1683,23.483366
60,1565.5577,7.827789
61,1174.1683,11.741683
62,1565.5577,7.827789
63,1174.1683,3.9138944
64,1565.5577,7.827789
65,1174.1683,11.741683
66,1565.5577,-3.9138944
67,1956.9471,0.0
68,1174.1683,-3.9138944
69,391.38943,7.827789
70,1565.5577,7.827789
71,1565.5577,3.9138944
72,1956.9471,-3.9138944
73,2348.3367,7.827789
74,2348.3367,11.741683
75,4305.2837,15.655578
76,5088.0625,19.569471
77,6653.6206,23.483366
78,8219.178,35.225048
79,10958.904,46.966732
80,14872.798,54.79452
81,19569.47,70.450096
82,23483.367,101.76125
83,28962.816,125.24462
84,34050.883,160.46967
85,40313.11,211.3503
86,46966.734,277.8865
87,53228.965,340.50882
88,56751.47,438.35617
89,63405.086,528.37573
90,69667.32,618.3953
91,72798.43,712.3288
92,77103.72,806.2622
93,79452.055,884.5401
94,81409.0,966.7319
95,83365.945,1021.5264
96,85714.29,1056.7515
97,86497.06,1095.8904
98,88062.625,1127.2015
99,90019.57,1138.9432
100,91585.125,1154.5989
101,93150.69,1158.5127
102,95107.64,1170.2544
103,97455.97,1170.2544
104,99412.92,1185.91
105,102152.65,1209.3933
106,104892.36,1228.9628
107,107240.7,1260.2739
108,109197.66,1299.413
109,110763.21,1346.3796
110,112328.766,1369.863
111,113502.94,1416.8297
112,113894.33,1448.1409
113,115068.5,1479.452
114,115068.5,1495.1077
115,114677.1,1506.8494
116,114677.1,1510.7632
117,114285.71,1514.6771
118,114677.1,1506.8494
119,114285.71,1491.1937
120,112720.16,1499.0215
121,113894.33,1487.2798
122,114677.1,1475.5382
123,115851.266,1471.6243
124,115068.5,1475.5382
125,117025.44,1471.6243
126,117025.44,1479.452
127,118199.61,1491.1937
128,119765.164,1499.0215
129,120547.95,1518.591
130,120156.555,1534.2466
131,121330.72,1545.9883
132,120547.95,1565.5577
133,120939.336,1569.4717
134,120939.336,1589.0411
135,119765.164,1600.7828
136,120156.555,1592.955
137,118591.0,1585.1272
138,118982.38,1577.2994
139,118591.0,1577.2994
140,118591.0,1565.5577
141,117808.22,1553.816
142,118591.0,1549.9021
143,119765.164,1542.0743
144,119765.164,1542.0743
145,119765.164,1538.1605
146,120939.336,1545.9883
147,121330.72,1545.9883
148,122113.51,1557.73
149,121722.11,1561.6438
150,122113.51,1569.4717
151,122113.51,1577.2994
152,122113.51,1589.0411
153,122504.89,1592.955
154,121722.11,1592.955
155,121722.11,1596.8689
156,121722.11,1600.7828
157,120547.95,1600.7828
