,"Area under pulse, flattened"
0,21761956.889506
1,22821506.841971
2,23411409.005834002
3,23568023.492856003
4,23639862.986761495
5,23831193.742467
6,23771409.045147
7,23945068.487361003
8,23792426.605248
9,23939432.516131498
10,23789060.670918
11,23845499.053476002
12,23946125.2331085
13,23875048.942492504
14,23817475.5308475
15,23856536.2245085
16,23788786.695581995
17,23768512.7455205
18,23683718.200942002
19,23755518.622095503
20,23748395.3334565
21,23783737.783393502
22,23707162.430083
23,23748845.399993
24,23712622.287101
25,23749765.158332504
26,23740254.371635497
27,23623346.380379498
28,23802602.728625998
29,23693561.6482705
30,23739784.736551996
31,23796007.844740003
32,23596555.7732585
33,23645538.188072
34,23708062.644342
35,23692348.3383835
36,23737436.4138185
37,23531408.977363504
38,23708434.4244425
39,23571800.3931395
40,23598806.263634503
41,23498023.467709504
42,23543581.1974585
43,23557671.248473
44,23616007.841612495
45,23464363.998439003
46,23461487.3046975
47,23527416.82255
48,23597553.8154465
49,23553718.219362997
50,23624442.286335
51,23464716.238291003
52,23544500.936586
53,23481859.0869545
54,23495499.0123235
55,23570039.1425675
56,23494109.6208275
57,23491643.844798
58,23476692.768307
59,23634070.452311
60,23545381.608038504
61,23538375.745979503
62,23495009.791093
63,23351311.160782
64,23488786.6933965
65,23552818.037715502
66,23472309.1985085
67,23426301.406742495
68,23372152.631824
69,23299432.477326494
70,23517906.057967
71,23556223.071150996
72,898588.5501607999
73,854704.9884064499
74,790187.86453605
75,732355.1849634999
76,671449.60859045
77,611831.70146665
78,551981.8977047
79,502563.10999125
80,453722.11439955
81,413903.1309777
82,371589.52801415
83,338808.21973314
84,306818.78733171
85,279286.69333114
86,251459.29574594996
87,227413.30811036998
88,207642.66113117
89,189610.37200049002
90,172818.78679353
91,158613.89410807
92,138718.88447492497
93,126927.397089885
94,116181.11558843001
95,106806.16417802
96,97889.43260583498
97,90802.64180877001
98,83882.68106283499
99,77178.473307955
100,72280.968362745
101,67044.81399666499
102,62363.698560250006
103,58141.48730563499
104,53780.919643545
105,50423.532441874995
106,47045.058736424995
107,44155.283622835
108,41802.78876814001
109,38680.03919144
110,36712.37758225
111,34427.63207016
112,32310.5870949885
113,30435.166305668
114,28661.996018493002
115,27108.493094727502
116,25934.226986093
117,24290.8414649945
118,23142.994104036003
119,21871.5068496525
120,20812.602735722
121,19729.686913766498
122,18823.8747519325
123,17820.000015556005
124,16998.571406677
125,16173.3268126365
126,15499.138953212
127,14915.508826799498
128,14214.109577309
129,13537.299424774003
130,12969.5596794315
131,12360.41093186
132,11835.185908123502
133,11370.479455251
134,10867.62233606
135,10514.637959298001
136,10216.702558076
137,9770.616456876
138,9394.667331729
139,9068.444228748502
140,8684.099785687
141,8330.4794461405
142,8013.42467741
143,7732.162458830999
