Target ID,Iteration,EMP voltage [V],Glitch offset [ns],Glitch width [ns],xPos [mm],yPos [mm],zPos [mm],Peak Voltage Chip Shouter,Peak Voltage Probe,Peak Width,Area under pulse,Rawdata Filename
,1,200,20,80,53,138,12,171819.97,270.05872,113,45706.465,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_53,138,12_1.csv' mode='w' encoding='utf-8'>"
,2,200,20,80,53,138,12,168297.47,264.18787,114,45441.78,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_53,138,12_2.csv' mode='w' encoding='utf-8'>"
,3,200,20,80,53,138,12,166340.5,260.274,117,44929.062,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_53,138,12_3.csv' mode='w' encoding='utf-8'>"
,4,200,20,80,53,138,12,172602.73,270.05872,116,45710.375,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_53,138,12_4.csv' mode='w' encoding='utf-8'>"
,5,200,20,80,53,138,12,171037.19,266.1448,118,45800.88,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_53,138,12_5.csv' mode='w' encoding='utf-8'>"
,6,200,20,80,53,138,12,168297.47,263.20938,115,45058.22,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_53,138,12_6.csv' mode='w' encoding='utf-8'>"
,7,200,20,80,53,138,12,170645.8,266.1448,116,45561.152,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_53,138,12_7.csv' mode='w' encoding='utf-8'>"
,8,200,20,80,53,138,12,171037.19,267.1233,114,45317.51,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_53,138,12_8.csv' mode='w' encoding='utf-8'>"
,9,200,20,80,53,138,12,167123.28,260.274,114,44275.926,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_53,138,12_9.csv' mode='w' encoding='utf-8'>"
,0,200,20,80,54,138,12,171428.58,389.4325,115,65778.87,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_54,138,12_0.csv' mode='w' encoding='utf-8'>"
,1,200,20,80,54,138,12,171037.19,388.454,115,65659.484,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_54,138,12_1.csv' mode='w' encoding='utf-8'>"
,2,200,20,80,54,138,12,167514.67,376.71234,115,63864.484,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_3cmxyPlane10mm\\20231102-134541\\raw_dumps\\200V\\width_80\\200_54,138,12_2.csv' mode='w' encoding='utf-8'>"
