TimeStep,Channel A,Channel C
0,782.7789,-3.9138944
1,1565.5577,1.9569472
2,1956.9471,-1.9569472
3,782.7789,1.9569472
4,782.7789,-3.9138944
5,1174.1683,-3.9138944
6,1565.5577,-1.9569472
7,1565.5577,-1.9569472
8,1565.5577,0.0
9,782.7789,-3.9138944
10,1174.1683,0.0
11,1174.1683,-1.9569472
12,0.0,-3.9138944
13,782.7789,-1.9569472
14,782.7789,-1.9569472
15,782.7789,1.9569472
16,1174.1683,0.0
17,782.7789,0.0
18,1174.1683,3.9138944
19,1565.5577,0.0
20,1565.5577,0.0
21,391.38943,-1.9569472
22,1174.1683,-1.9569472
23,1174.1683,-3.9138944
24,1956.9471,-3.9138944
25,1565.5577,1.9569472
26,782.7789,1.9569472
27,1565.5577,-1.9569472
28,1174.1683,-3.9138944
29,1565.5577,1.9569472
30,782.7789,0.0
31,391.38943,1.9569472
32,1174.1683,0.0
33,391.38943,-3.9138944
34,782.7789,-1.9569472
35,391.38943,0.0
36,1565.5577,-3.9138944
37,1565.5577,-1.9569472
38,782.7789,3.9138944
39,782.7789,-3.9138944
40,1174.1683,-1.9569472
41,782.7789,3.9138944
42,1565.5577,0.0
43,782.7789,-3.9138944
44,1174.1683,0.0
45,1565.5577,1.9569472
46,1565.5577,-1.9569472
47,1174.1683,-3.9138944
48,782.7789,0.0
49,1174.1683,-5.8708415
50,782.7789,0.0
51,1174.1683,-1.9569472
52,782.7789,-3.9138944
53,1956.9471,-3.9138944
54,1565.5577,1.9569472
55,1174.1683,1.9569472
56,391.38943,0.0
57,0.0,3.9138944
58,782.7789,1.9569472
59,1565.5577,5.8708415
60,1174.1683,-1.9569472
61,1565.5577,3.9138944
62,1565.5577,0.0
63,1174.1683,0.0
64,1565.5577,0.0
65,782.7789,0.0
66,1565.5577,0.0
67,1565.5577,-1.9569472
68,1174.1683,0.0
69,1565.5577,1.9569472
70,782.7789,0.0
71,1565.5577,-1.9569472
72,1956.9471,0.0
73,2739.726,1.9569472
74,3522.505,0.0
75,3131.1155,5.8708415
76,4305.2837,3.9138944
77,6653.6206,3.9138944
78,8219.178,9.784736
79,10958.904,11.741683
80,13698.631,15.655578
81,18003.914,23.483366
82,21917.809,33.2681
83,27005.871,39.138943
84,32485.322,54.79452
85,37573.387,66.5362
86,44618.395,90.01957
87,49315.07,121.33073
88,55968.688,150.68494
89,61056.754,180.03914
90,65362.035,215.26419
91,69667.32,250.48924
92,73581.21,285.7143
93,75538.16,317.02545
94,79060.664,344.4227
95,79843.445,367.90607
96,82191.78,385.5186
97,82974.56,401.17416
98,83757.336,405.08807
99,84931.5,418.78668
100,86888.45,420.74365
101,88845.4,420.74365
102,90802.34,422.7006
103,93542.07,430.52838
104,95107.64,438.35617
105,97455.97,438.35617
106,100587.08,450.09784
107,102152.65,459.88257
108,104109.59,473.5812
109,105675.15,483.36594
110,106066.53,493.1507
111,107632.09,512.72015
112,108806.26,522.5049
113,108414.875,532.2896
114,108023.484,538.16046
115,108023.484,544.0313
116,107632.09,547.9452
117,106066.53,542.07434
118,105675.15,538.16046
119,104500.98,530.3327
120,104109.59,528.37573
121,103718.2,516.63403
122,103326.805,510.7632
123,102544.03,500.9785
124,101369.86,493.1507
125,100195.695,479.45206
126,100978.48,477.49512
127,99021.52,465.75342
128,97847.35,457.92563
129,97847.35,448.1409
130,96281.8,438.35617
131,95107.64,426.61447
132,93933.47,418.78668
133,92759.3,403.1311
134,90802.34,389.4325
135,89628.19,381.6047
136,88454.016,363.99216
137,87279.84,354.20743
138,86888.45,340.50882
139,84148.734,332.68103
140,84540.12,320.93933
141,83757.336,309.19766
142,82974.56,299.4129
143,82583.17,285.7143
144,82974.56,277.8865
145,82191.78,270.05872
146,80626.22,264.18787
147,81017.61,258.31702
148,81017.61,252.44618
149,79843.445,248.53229
150,79452.055,242.66145
151,78277.88,238.74756
152,77886.5,234.83366
153,77886.5,234.83366
154,77103.72,223.09198
155,76320.94,219.17809
156,76320.94,213.30724
157,75146.77,211.3503
158,74755.38,209.39334
159,73581.21,203.5225
160,73581.21,203.5225
161,73581.21,197.65166
162,72015.66,195.69472
163,72015.66,189.82387
164,72015.66,183.95303
165,71624.266,183.95303
166,71232.875,178.0822
167,70841.49,174.1683
168,70450.09,176.12524
169,70841.49,174.1683
170,69667.32,172.21135
171,70058.7,168.29745
172,68884.54,168.29745
173,68101.766,166.34052
174,67318.984,166.34052
175,67318.984,158.51273
176,66536.2,162.42662
177,66536.2,160.46967
178,65362.035,158.51273
179,65753.42,156.55577
180,63796.48,152.64188
181,63796.48,146.77104
182,63013.695,150.68494
183,62622.31,144.81409
184,62230.918,142.85715
185,62230.918,138.94325
186,61448.14,138.94325
187,60665.36,144.81409
188,61056.754,140.90019
189,61448.14,136.9863
190,60665.36,136.9863
191,61056.754,133.0724
192,59882.582,131.11546
193,59099.805,133.0724
194,58317.027,127.20157
195,57925.633,125.24462
196,57142.855,127.20157
197,56751.47,123.287674
198,55185.906,125.24462
199,55185.906,119.37378
200,54011.742,117.41683
201,54403.13,117.41683
202,54403.13,115.459885
203,53228.965,113.50294
204,52446.18,113.50294
205,52054.797,111.54599
206,52446.18,111.54599
207,52054.797,109.58904
208,51272.016,107.632095
209,51272.016,109.58904
210,51272.016,105.67515
211,50097.848,101.76125
212,50097.848,105.67515
213,49706.46,103.7182
214,49315.07,105.67515
215,48140.9,103.7182
216,48140.9,103.7182
217,47358.12,101.76125
218,46183.953,99.804306
219,46575.344,97.84736
220,44618.395,95.89041
221,44618.395,95.89041
222,43444.227,91.97652
223,43052.836,93.933464
224,43444.227,93.933464
225,42661.45,91.97652
226,42270.06,91.97652
227,41487.28,88.06262
228,41487.28,86.105675
229,40704.5,86.105675
230,41095.89,82.19178
231,40704.5,82.19178
232,40313.11,82.19178
233,39530.332,84.14873
234,38356.164,82.19178
235,39138.94,82.19178
236,38356.164,80.23483
237,37964.773,78.277885
238,37964.773,80.23483
239,36399.215,78.277885
240,36399.215,76.32094
241,35616.438,74.36399
242,35616.438,70.450096
243,35616.438,72.40704
244,35616.438,72.40704
245,34442.27,70.450096
246,34050.883,66.5362
247,34050.883,70.450096
248,34050.883,66.5362
249,33659.492,64.579254
250,33659.492,66.5362
251,33659.492,62.62231
252,33659.492,62.62231
253,32876.71,60.665363
254,33268.1,64.579254
255,32485.322,66.5362
256,32485.322,60.665363
257,32485.322,64.579254
258,32093.934,64.579254
259,32093.934,62.62231
260,32093.934,60.665363
261,31311.154,62.62231
262,30919.766,62.62231
263,31311.154,60.665363
264,30919.766,62.62231
265,31311.154,56.75147
266,30528.377,58.708416
267,30528.377,62.62231
268,30528.377,58.708416
269,30919.766,60.665363
270,30919.766,56.75147
271,30528.377,56.75147
272,30528.377,56.75147
273,30528.377,62.62231
274,30528.377,60.665363
275,30528.377,56.75147
276,30528.377,54.79452
277,29745.596,54.79452
278,30136.988,58.708416
279,29354.207,56.75147
280,29354.207,54.79452
281,29354.207,52.837574
282,29354.207,56.75147
283,28180.04,54.79452
284,28571.428,58.708416
285,27005.871,48.92368
286,25048.924,54.79452
287,23483.367,52.837574
288,22309.197,52.837574
289,19960.861,46.966732
290,18003.914,45.009785
291,15655.577,45.009785
292,14872.798,41.09589
293,11741.684,35.225048
294,10567.515,33.2681
295,8219.178,27.39726
296,6653.6206,17.612524
297,5870.842,13.69863
298,3913.8943,9.784736
299,3131.1155,7.827789
300,1956.9471,-1.9569472
301,1565.5577,-3.9138944
302,1174.1683,-3.9138944
303,782.7789,-9.784736
304,391.38943,-7.827789
305,-782.7789,-9.784736
306,-391.38943,-11.741683
307,0.0,-11.741683
308,-1565.5577,-11.741683
309,-1565.5577,-13.69863
310,-1565.5577,-11.741683
311,-2348.3367,-15.655578
312,-2739.726,-11.741683
313,-3131.1155,-15.655578
314,-3522.505,-15.655578
315,-3522.505,-17.612524
316,-3913.8943,-13.69863
317,-3913.8943,-19.569471
318,-4305.2837,-23.483366
319,-3913.8943,-17.612524
320,-4696.6733,-19.569471
321,-5479.452,-19.569471
322,-5088.0625,-23.483366
323,-4305.2837,-21.526419
324,-4696.6733,-21.526419
325,-5088.0625,-19.569471
326,-3913.8943,-19.569471
327,-5088.0625,-21.526419
328,-4696.6733,-19.569471
329,-5088.0625,-19.569471
330,-4696.6733,-21.526419
331,-5088.0625,-21.526419
332,-5088.0625,-21.526419
333,-4305.2837,-21.526419
334,-5088.0625,-17.612524
335,-4696.6733,-19.569471
336,-4305.2837,-23.483366
337,-5088.0625,-19.569471
338,-5479.452,-21.526419
339,-5088.0625,-25.440313
340,-4696.6733,-19.569471
341,-5479.452,-19.569471
342,-5479.452,-23.483366
343,-6262.231,-21.526419
344,-5870.842,-25.440313
345,-5088.0625,-23.483366
346,-5479.452,-23.483366
347,-5479.452,-23.483366
348,-5479.452,-23.483366
349,-5479.452,-19.569471
350,-5088.0625,-21.526419
351,-5088.0625,-25.440313
352,-5479.452,-23.483366
353,-5479.452,-23.483366
354,-5870.842,-19.569471
355,-5870.842,-21.526419
356,-5088.0625,-25.440313
357,-5479.452,-19.569471
358,-5479.452,-21.526419
359,-5479.452,-21.526419
360,-5870.842,-25.440313
361,-6262.231,-23.483366
362,-5870.842,-23.483366
363,-5088.0625,-25.440313
364,-5870.842,-25.440313
365,-5870.842,-27.39726
366,-5870.842,-21.526419
367,-6262.231,-17.612524
368,-5870.842,-27.39726
369,-5870.842,-25.440313
370,-5870.842,-25.440313
371,-6262.231,-25.440313
372,-5479.452,-23.483366
373,-5870.842,-23.483366
374,-6262.231,-25.440313
375,-6653.6206,-23.483366
376,-6653.6206,-25.440313
377,-6653.6206,-25.440313
378,-6262.231,-25.440313
379,-6653.6206,-21.526419
380,-7045.01,-27.39726
381,-7045.01,-25.440313
382,-6262.231,-25.440313
383,-7045.01,-25.440313
384,-6653.6206,-25.440313
385,-6653.6206,-23.483366
386,-5479.452,-31.311155
387,-6262.231,-27.39726
388,-5870.842,-25.440313
389,-6262.231,-23.483366
390,-6653.6206,-21.526419
391,-6653.6206,-25.440313
392,-6653.6206,-27.39726
393,-5479.452,-21.526419
394,-5870.842,-25.440313
395,-5870.842,-21.526419
396,-7045.01,-23.483366
397,-6262.231,-21.526419
398,-6262.231,-23.483366
399,-6262.231,-25.440313
400,-6262.231,-25.440313
401,-5870.842,-23.483366
402,-6262.231,-27.39726
403,-5870.842,-21.526419
404,-5870.842,-23.483366
405,-5479.452,-21.526419
406,-5479.452,-21.526419
407,-5479.452,-25.440313
408,-5870.842,-27.39726
409,-6262.231,-23.483366
410,-6262.231,-23.483366
