TimeStep,Channel A,Channel C
0,1174.1683,3.9138944
1,1565.5577,0.0
2,391.38943,0.0
3,1565.5577,3.9138944
4,1174.1683,0.0
5,1565.5577,3.9138944
6,1565.5577,3.9138944
7,1174.1683,7.827789
8,391.38943,3.9138944
9,391.38943,11.741683
10,782.7789,0.0
11,782.7789,3.9138944
12,1174.1683,3.9138944
13,1174.1683,7.827789
14,1956.9471,7.827789
15,1565.5577,0.0
16,1174.1683,0.0
17,782.7789,-3.9138944
18,1956.9471,3.9138944
19,1565.5577,-3.9138944
20,1174.1683,3.9138944
21,782.7789,7.827789
22,391.38943,-3.9138944
23,391.38943,3.9138944
24,782.7789,-7.827789
25,391.38943,15.655578
26,1565.5577,7.827789
27,1565.5577,7.827789
28,1565.5577,7.827789
29,391.38943,11.741683
30,782.7789,7.827789
31,1174.1683,11.741683
32,391.38943,11.741683
33,1565.5577,0.0
34,782.7789,7.827789
35,1565.5577,7.827789
36,391.38943,3.9138944
37,782.7789,3.9138944
38,1174.1683,3.9138944
39,782.7789,11.741683
40,782.7789,0.0
41,782.7789,3.9138944
42,1565.5577,3.9138944
43,1174.1683,11.741683
44,1565.5577,3.9138944
45,782.7789,-3.9138944
46,1174.1683,0.0
47,1565.5577,7.827789
48,1565.5577,3.9138944
49,782.7789,3.9138944
50,1174.1683,15.655578
51,1565.5577,3.9138944
52,1174.1683,11.741683
53,1565.5577,7.827789
54,1174.1683,3.9138944
55,1565.5577,3.9138944
56,1174.1683,0.0
57,1565.5577,7.827789
58,782.7789,3.9138944
59,1174.1683,3.9138944
60,782.7789,11.741683
61,1565.5577,0.0
62,1174.1683,0.0
63,1565.5577,0.0
64,1174.1683,3.9138944
65,1565.5577,7.827789
66,1174.1683,3.9138944
67,782.7789,0.0
68,782.7789,0.0
69,782.7789,3.9138944
70,782.7789,11.741683
71,1565.5577,0.0
72,1956.9471,7.827789
73,2348.3367,11.741683
74,3522.505,11.741683
75,3522.505,3.9138944
76,4305.2837,11.741683
77,6262.231,15.655578
78,8610.567,19.569471
79,10567.515,31.311155
80,13307.241,39.138943
81,16438.355,35.225048
82,21526.418,54.79452
83,27397.262,70.450096
84,32485.322,90.01957
85,37573.387,113.50294
86,43052.836,156.55577
87,49706.46,176.12524
88,54794.523,223.09198
89,60665.36,270.05872
90,65753.42,324.85324
91,71232.875,379.64774
92,74363.99,434.44226
93,77886.5,477.49512
94,79843.445,528.37573
95,82191.78,559.6869
96,82974.56,590.99805
97,85714.29,610.5675
98,86888.45,622.3092
99,88454.016,637.9648
100,89236.79,641.87866
101,90802.34,653.62036
102,93542.07,661.4481
103,95107.64,665.36206
104,97847.35,673.1898
105,100195.695,688.8454
106,101761.25,692.7593
107,104892.36,708.41486
108,106457.93,724.07043
109,107632.09,747.55383
110,110371.81,763.2094
111,111154.6,782.7789
112,111545.984,802.3483
113,111545.984,810.17615
114,111545.984,821.9178
115,110371.81,829.7456
116,109589.05,829.7456
117,109197.66,821.9178
118,108414.875,825.8317
119,107632.09,806.2622
120,107240.7,806.2622
121,105675.15,786.69275
122,105675.15,774.95105
