TimeStep,Channel A,Channel C
0,1174.1683,-1.9569472
1,782.7789,1.9569472
2,782.7789,0.0
3,782.7789,-1.9569472
4,1956.9471,1.9569472
5,1174.1683,0.0
6,1956.9471,0.0
7,1565.5577,-3.9138944
8,782.7789,-1.9569472
9,1565.5577,0.0
10,1174.1683,-1.9569472
11,1565.5577,-1.9569472
12,391.38943,0.0
13,1174.1683,-3.9138944
14,1565.5577,1.9569472
15,1565.5577,-3.9138944
16,782.7789,0.0
17,1565.5577,-1.9569472
18,782.7789,-5.8708415
19,782.7789,3.9138944
20,782.7789,-3.9138944
21,1174.1683,-1.9569472
22,1565.5577,-3.9138944
23,1565.5577,1.9569472
24,1174.1683,0.0
25,782.7789,0.0
26,1565.5577,-1.9569472
27,1565.5577,0.0
28,1565.5577,-3.9138944
29,1565.5577,0.0
30,1565.5577,-1.9569472
31,1565.5577,-3.9138944
32,1565.5577,0.0
33,1956.9471,1.9569472
34,1174.1683,0.0
35,782.7789,3.9138944
36,1956.9471,0.0
37,1956.9471,-1.9569472
38,1565.5577,0.0
39,1565.5577,1.9569472
40,782.7789,1.9569472
41,1565.5577,-1.9569472
42,391.38943,0.0
43,1565.5577,1.9569472
44,1174.1683,0.0
45,1174.1683,-1.9569472
46,391.38943,1.9569472
47,1565.5577,0.0
48,1174.1683,-3.9138944
49,782.7789,-5.8708415
50,1174.1683,-1.9569472
51,391.38943,-3.9138944
52,1565.5577,-3.9138944
53,1565.5577,-1.9569472
54,1565.5577,3.9138944
55,782.7789,1.9569472
56,391.38943,1.9569472
57,1174.1683,0.0
58,391.38943,1.9569472
59,391.38943,1.9569472
60,1174.1683,1.9569472
61,1565.5577,-1.9569472
62,1565.5577,3.9138944
63,1565.5577,-1.9569472
64,782.7789,0.0
65,1174.1683,0.0
66,1174.1683,1.9569472
67,782.7789,-5.8708415
68,1565.5577,1.9569472
69,782.7789,0.0
70,1565.5577,0.0
71,1565.5577,1.9569472
72,1956.9471,-3.9138944
73,2348.3367,-1.9569472
74,2739.726,1.9569472
75,3913.8943,0.0
76,4696.6733,1.9569472
77,5088.0625,5.8708415
78,7827.7886,7.827789
79,10567.515,13.69863
80,14090.02,17.612524
81,18003.914,25.440313
82,22309.197,37.181995
83,27788.65,43.052837
84,33268.1,56.75147
85,39138.94,74.36399
86,45009.785,93.933464
87,51272.016,121.33073
88,56751.47,152.64188
89,62622.31,185.90997
90,66927.59,219.17809
91,71232.875,258.31702
92,75538.16,293.54208
93,77886.5,324.85324
94,79843.445,354.20743
95,81800.39,377.6908
96,84148.734,401.17416
97,84931.5,409.00195
98,86105.67,420.74365
99,88845.4,434.44226
100,89236.79,436.39923
101,91976.516,438.35617
102,93933.47,446.18396
103,95499.02,446.18396
104,97847.35,452.0548
105,100587.08,457.92563
106,102544.03,465.75342
107,105283.76,477.49512
108,108023.484,485.3229
109,109197.66,499.0215
110,109589.05,514.6771
111,110763.21,526.41876
112,111154.6,536.20355
113,111937.375,551.8591
114,111937.375,555.773
115,109589.05,559.6869
116,109980.43,559.6869
117,109980.43,553.81604
118,108414.875,551.8591
119,106849.31,545.9883
120,106457.93,536.20355
121,105283.76,526.41876
122,104892.36,516.63403
123,104109.59,506.8493
124,102935.42,497.06458
125,102544.03,491.19373
126,101369.86,479.45206
127,100587.08,467.71036
128,99412.92,459.88257
129,99021.52,450.09784
130,97847.35,438.35617
131,96281.8,424.65753
132,94716.24,410.9589
133,93542.07,401.17416
134,93542.07,391.38943
135,90019.57,375.73386
136,90019.57,363.99216
137,89628.19,350.29355
138,87279.84,336.5949
139,86497.06,330.72406
140,86497.06,311.1546
141,84931.5,305.28375
142,84931.5,291.5851
143,84148.734,287.67123
144,83757.336,277.8865
