TimeStep,Channel A,Channel C
0,391.38943,1.9569472
1,1174.1683,-1.9569472
2,391.38943,5.8708415
3,391.38943,0.0
4,1174.1683,1.9569472
5,782.7789,-1.9569472
6,1174.1683,0.0
7,391.38943,1.9569472
8,1174.1683,1.9569472
9,1174.1683,-3.9138944
10,1174.1683,1.9569472
11,1174.1683,1.9569472
12,782.7789,1.9569472
13,1174.1683,0.0
14,782.7789,-1.9569472
15,391.38943,3.9138944
16,1174.1683,0.0
17,782.7789,3.9138944
18,1174.1683,0.0
19,1174.1683,0.0
20,782.7789,-1.9569472
21,782.7789,-3.9138944
22,782.7789,3.9138944
23,391.38943,1.9569472
24,1174.1683,3.9138944
25,1174.1683,3.9138944
26,391.38943,-1.9569472
27,391.38943,1.9569472
28,782.7789,3.9138944
29,391.38943,1.9569472
30,1174.1683,0.0
31,1174.1683,3.9138944
32,1565.5577,0.0
33,1565.5577,0.0
34,1565.5577,1.9569472
35,782.7789,0.0
36,391.38943,1.9569472
37,391.38943,1.9569472
38,782.7789,1.9569472
39,782.7789,1.9569472
40,782.7789,1.9569472
41,1174.1683,3.9138944
42,782.7789,-1.9569472
43,782.7789,0.0
44,1174.1683,-1.9569472
45,1565.5577,0.0
46,391.38943,0.0
47,391.38943,-3.9138944
48,391.38943,0.0
49,782.7789,0.0
50,391.38943,1.9569472
51,0.0,3.9138944
52,782.7789,-5.8708415
53,391.38943,1.9569472
54,391.38943,-3.9138944
55,1956.9471,3.9138944
56,1174.1683,-1.9569472
57,391.38943,0.0
58,782.7789,0.0
59,1174.1683,0.0
60,391.38943,3.9138944
61,782.7789,1.9569472
62,1174.1683,-1.9569472
63,782.7789,1.9569472
64,782.7789,1.9569472
65,782.7789,-1.9569472
66,782.7789,5.8708415
67,0.0,-1.9569472
68,1174.1683,1.9569472
69,391.38943,5.8708415
70,782.7789,1.9569472
71,1565.5577,0.0
72,1565.5577,0.0
73,1956.9471,-1.9569472
74,2739.726,0.0
75,3131.1155,1.9569472
76,5088.0625,3.9138944
77,5479.452,5.8708415
78,7045.01,7.827789
79,9393.347,13.69863
80,12915.851,19.569471
81,17221.135,25.440313
82,21526.418,37.181995
83,25831.701,50.880627
84,31311.154,62.62231
85,37573.387,82.19178
86,43835.617,109.58904
87,50097.848,140.90019
88,54403.13,174.1683
89,60665.36,211.3503
90,65362.035,258.31702
91,70058.7,307.2407
92,73972.6,346.37964
93,77103.72,389.4325
94,79452.055,422.7006
