TimeStep,Channel A,Channel C
0,1565.5577,11.741683
1,1174.1683,11.741683
2,782.7789,7.827789
3,391.38943,3.9138944
4,1174.1683,3.9138944
5,782.7789,11.741683
6,391.38943,3.9138944
7,391.38943,11.741683
8,782.7789,11.741683
9,1565.5577,11.741683
10,0.0,7.827789
11,1565.5577,7.827789
12,1174.1683,3.9138944
13,782.7789,11.741683
14,782.7789,3.9138944
15,1174.1683,11.741683
16,782.7789,7.827789
17,782.7789,11.741683
18,1565.5577,7.827789
19,1565.5577,7.827789
20,782.7789,7.827789
21,1565.5577,3.9138944
22,0.0,3.9138944
23,1174.1683,7.827789
24,391.38943,7.827789
25,1174.1683,7.827789
26,1174.1683,3.9138944
27,391.38943,3.9138944
28,782.7789,3.9138944
29,1174.1683,15.655578
30,1565.5577,3.9138944
31,782.7789,11.741683
32,782.7789,15.655578
33,1956.9471,7.827789
34,1565.5577,11.741683
35,782.7789,3.9138944
36,1565.5577,7.827789
37,1565.5577,7.827789
38,1565.5577,7.827789
39,1565.5577,11.741683
40,782.7789,3.9138944
41,1174.1683,3.9138944
42,1174.1683,7.827789
43,1174.1683,3.9138944
44,1174.1683,7.827789
45,1174.1683,11.741683
46,391.38943,11.741683
47,1174.1683,7.827789
48,1174.1683,11.741683
49,391.38943,11.741683
50,1174.1683,-3.9138944
51,1565.5577,7.827789
52,391.38943,11.741683
53,2348.3367,7.827789
54,782.7789,7.827789
55,1956.9471,3.9138944
56,391.38943,11.741683
57,1174.1683,7.827789
58,1565.5577,11.741683
59,1565.5577,11.741683
60,1174.1683,11.741683
61,1174.1683,3.9138944
62,1174.1683,7.827789
63,1956.9471,7.827789
64,1174.1683,7.827789
65,391.38943,7.827789
66,1956.9471,7.827789
67,782.7789,7.827789
68,1565.5577,3.9138944
69,1565.5577,7.827789
70,2348.3367,7.827789
71,1565.5577,11.741683
72,1956.9471,7.827789
73,2739.726,11.741683
74,3131.1155,19.569471
75,3522.505,19.569471
76,5088.0625,19.569471
77,6262.231,35.225048
78,7436.399,39.138943
79,10176.125,54.79452
80,13307.241,74.36399
81,17612.523,97.84736
82,22309.197,117.41683
83,28180.04,152.64188
84,33268.1,199.60861
85,39138.94,254.40314
86,45009.785,328.76712
87,51272.016,414.8728
88,56360.08,516.63403
89,61839.53,630.13696
90,66144.81,735.81213
91,70841.49,861.05676
92,74363.99,970.6458
93,75929.55,1076.3209
94,79452.055,1166.3405
95,81800.39,1232.8767
96,83757.336,1295.499
97,85322.9,1346.3796
98,86888.45,1369.863
99,87279.84,1397.2603
100,88845.4,1416.8297
101,90410.95,1432.4854
102,92759.3,1444.227
103,95107.64,1444.227
104,97064.58,1471.6243
105,99804.305,1487.2798
106,102152.65,1518.591
107,104892.36,1557.73
108,106457.93,1600.7828
109,107632.09,1636.0078
110,109980.43,1679.0607
111,110371.81,1726.0273
112,110763.21,1753.4247
113,111154.6,1788.6497
114,110371.81,1808.2192
115,109980.43,1819.9608
116,109197.66,1816.047
117,108414.875,1816.047
118,108023.484,1800.3914
119,106457.93,1784.7358
120,104892.36,1745.5969
121,105283.76,1722.1135
122,104500.98,1686.8884
123,102935.42,1659.4912
124,102544.03,1620.3523
125,102935.42,1592.955
126,101369.86,1553.816
127,100195.695,1530.3326
128,98630.14,1499.0215
129,98630.14,1459.8826
130,97064.58,1420.7437
131,96281.8,1381.6047
132,93542.07,1346.3796
133,93542.07,1299.413
134,91976.516,1260.2739
135,91193.74,1213.3073
136,89628.19,1166.3405
137,88845.4,1135.0293
138,87671.234,1091.9766
139,86888.45,1048.9237
140,85714.29,1021.5264
141,84931.5,986.3014
142,84931.5,958.9041
143,84540.12,923.6791
144,83757.336,908.0235
145,83365.945,892.3679
146,83365.945,864.97064
147,82583.17,845.4012
148,82191.78,821.9178
149,80626.22,802.3483
150,81017.61,786.69275
151,79843.445,774.95105
152,79452.055,759.2955
153,78277.88,751.4677
154,77886.5,724.07043
155,76712.33,712.3288
156,76712.33,700.5871
157,75929.55,684.9315
158,75146.77,669.27594
159,75538.16,649.7065
160,74363.99,645.79254
161,73581.21,630.13696
162,73972.6,614.4814
163,72407.05,602.73975
164,72407.05,610.5675
165,72798.43,587.08417
166,71232.875,583.1702
167,72015.66,575.34247
168,71624.266,571.4286
169,71624.266,559.6869
170,70450.09,551.8591
171,70058.7,547.9452
172,70450.09,540.11743
173,68884.54,536.20355
174,68493.15,536.20355
175,67710.375,524.46185
176,66536.2,512.72015
177,66536.2,504.89236
178,66144.81,508.80627
