TimeStep,Channel A,Channel C
0,391.38943,7.827789
1,782.7789,11.741683
2,1565.5577,15.655578
3,0.0,7.827789
4,782.7789,7.827789
5,782.7789,15.655578
6,1565.5577,7.827789
7,1565.5577,11.741683
8,1174.1683,15.655578
9,782.7789,19.569471
10,1565.5577,11.741683
11,782.7789,7.827789
12,782.7789,19.569471
13,1565.5577,11.741683
14,782.7789,15.655578
15,1174.1683,7.827789
16,1174.1683,11.741683
17,1174.1683,11.741683
18,391.38943,15.655578
19,1565.5577,15.655578
20,1174.1683,0.0
21,782.7789,7.827789
22,1565.5577,11.741683
23,1174.1683,15.655578
24,391.38943,7.827789
25,782.7789,7.827789
26,1174.1683,7.827789
27,1174.1683,11.741683
28,1565.5577,11.741683
29,391.38943,7.827789
30,1174.1683,3.9138944
31,1565.5577,7.827789
32,0.0,11.741683
33,0.0,3.9138944
34,1174.1683,3.9138944
35,1565.5577,11.741683
36,782.7789,11.741683
37,782.7789,0.0
38,1174.1683,3.9138944
39,391.38943,11.741683
40,782.7789,7.827789
41,782.7789,15.655578
42,1174.1683,7.827789
43,782.7789,19.569471
44,391.38943,15.655578
45,391.38943,19.569471
46,0.0,11.741683
47,0.0,15.655578
48,1174.1683,11.741683
49,1565.5577,19.569471
50,782.7789,11.741683
51,782.7789,7.827789
52,782.7789,19.569471
53,782.7789,7.827789
54,782.7789,7.827789
55,1174.1683,3.9138944
56,1174.1683,3.9138944
57,1174.1683,11.741683
58,782.7789,11.741683
59,391.38943,11.741683
60,782.7789,15.655578
61,782.7789,11.741683
62,1565.5577,11.741683
63,1174.1683,3.9138944
64,1565.5577,15.655578
65,782.7789,7.827789
66,391.38943,11.741683
67,1565.5577,7.827789
68,782.7789,15.655578
69,1174.1683,7.827789
70,1956.9471,11.741683
71,1565.5577,11.741683
72,1565.5577,11.741683
73,3131.1155,11.741683
74,2739.726,11.741683
75,3131.1155,15.655578
76,4305.2837,15.655578
77,5088.0625,23.483366
78,7045.01,23.483366
79,9001.957,27.39726
80,10958.904,27.39726
81,16046.967,39.138943
82,19960.861,50.880627
83,25440.312,58.708416
84,30136.988,78.277885
85,35616.438,101.76125
86,41487.28,133.0724
87,46966.734,180.03914
88,53228.965,211.3503
89,59099.805,262.23093
90,63405.086,317.02545
91,69275.93,375.73386
92,72407.05,426.61447
93,75929.55,469.66733
94,79452.055,516.63403
95,80234.836,544.0313
96,82974.56,590.99805
97,84540.12,602.73975
98,85322.9,626.2231
99,86105.67,637.9648
100,88062.625,645.79254
101,89236.79,653.62036
102,93150.69,661.4481
103,93542.07,665.36206
104,95890.41,669.27594
105,98630.14,684.9315
106,100978.48,700.5871
107,103718.2,708.41486
108,106066.53,720.15656
109,107632.09,743.6399
110,109197.66,759.2955
111,109589.05,782.7789
112,110763.21,794.52057
113,110763.21,810.17615
114,110763.21,825.8317
115,109589.05,829.7456
116,109589.05,845.4012
117,108414.875,833.6595
118,108414.875,833.6595
119,107240.7,821.9178
120,106066.53,810.17615
121,105675.15,798.43445
122,104500.98,786.69275
123,104109.59,763.2094
124,102935.42,751.4677
125,102152.65,735.81213
126,100978.48,724.07043
127,100587.08,716.2427
128,99804.305,696.6732
129,99021.52,673.1898
130,97847.35,661.4481
131,96673.195,649.7065
132,94716.24,630.13696
133,94716.24,610.5675
134,92367.91,587.08417
135,91585.125,579.25635
136,90019.57,559.6869
137,88845.4,540.11743
138,87671.234,520.548
139,86497.06,504.89236
140,86105.67,477.49512
141,84931.5,473.5812
142,84540.12,457.92563
143,83757.336,442.27005
144,82974.56,430.52838
145,83365.945,422.7006
146,83365.945,410.9589
147,82974.56,395.3033
148,82191.78,391.38943
149,81017.61,383.56165
150,80626.22,379.64774
151,79843.445,367.90607
152,79452.055,363.99216
153,79060.664,356.1644
154,78277.88,352.2505
155,77495.11,348.3366
156,76320.94,336.5949
157,76320.94,328.76712
158,75146.77,328.76712
159,75538.16,317.02545
160,74755.38,313.11154
161,73972.6,305.28375
162,73972.6,297.45596
163,73189.83,297.45596
164,72798.43,293.54208
165,72015.66,281.80038
166,72015.66,281.80038
167,71232.875,273.9726
168,71232.875,277.8865
169,71624.266,281.80038
170,70841.49,273.9726
171,70841.49,270.05872
172,70841.49,262.23093
173,69275.93,258.31702
174,68493.15,258.31702
175,67710.375,258.31702
176,68101.766,250.48924
177,67318.984,242.66145
178,65753.42,250.48924
179,64579.258,234.83366
180,64970.645,238.74756
181,63796.48,230.91977
182,62622.31,227.00587
183,62622.31,227.00587
184,63013.695,230.91977
185,61839.53,219.17809
186,61448.14,223.09198
187,60273.977,219.17809
188,61056.754,211.3503
189,61056.754,215.26419
190,59491.19,215.26419
191,59882.582,207.4364
192,59099.805,207.4364
193,58317.027,199.60861
194,57925.633,195.69472
195,57534.25,199.60861
196,55968.688,195.69472
197,55577.3,195.69472
198,55185.906,191.78082
199,54011.742,195.69472
200,54011.742,187.86693
201,52837.574,187.86693
202,52837.574,180.03914
203,52054.797,183.95303
204,52054.797,180.03914
205,51663.402,172.21135
206,50489.24,164.38356
207,50097.848,172.21135
208,50489.24,176.12524
209,49315.07,160.46967
210,48923.676,160.46967
