TimeStep,Channel A,Channel C
0,1565.5577,9.784736
1,1174.1683,19.569471
2,1956.9471,9.784736
3,1174.1683,19.569471
4,1565.5577,0.0
5,1174.1683,19.569471
6,782.7789,0.0
7,1174.1683,19.569471
8,782.7789,9.784736
9,782.7789,19.569471
10,782.7789,19.569471
11,391.38943,9.784736
12,782.7789,-9.784736
13,1174.1683,9.784736
14,391.38943,9.784736
15,782.7789,9.784736
16,782.7789,-9.784736
17,391.38943,9.784736
18,782.7789,-9.784736
19,782.7789,0.0
20,1565.5577,19.569471
21,391.38943,0.0
22,1565.5577,-19.569471
23,1565.5577,9.784736
24,1956.9471,-9.784736
25,1174.1683,29.354208
26,782.7789,0.0
27,1174.1683,9.784736
28,782.7789,-9.784736
29,1174.1683,9.784736
30,0.0,29.354208
31,782.7789,9.784736
32,-391.38943,9.784736
33,391.38943,9.784736
34,391.38943,29.354208
35,1174.1683,19.569471
36,782.7789,9.784736
37,1174.1683,9.784736
38,782.7789,0.0
39,1174.1683,19.569471
40,391.38943,0.0
41,782.7789,29.354208
42,1565.5577,-9.784736
43,782.7789,9.784736
44,782.7789,9.784736
45,782.7789,19.569471
46,782.7789,-9.784736
47,1174.1683,9.784736
48,1565.5577,0.0
49,782.7789,0.0
50,1565.5577,19.569471
51,1565.5577,9.784736
52,782.7789,9.784736
53,1174.1683,9.784736
54,1174.1683,9.784736
55,782.7789,-19.569471
56,1174.1683,-9.784736
57,391.38943,9.784736
58,782.7789,19.569471
59,1174.1683,19.569471
60,1565.5577,0.0
61,782.7789,9.784736
62,1174.1683,29.354208
63,782.7789,9.784736
64,1174.1683,9.784736
65,1174.1683,19.569471
66,1174.1683,9.784736
67,1174.1683,0.0
68,1174.1683,19.569471
69,782.7789,19.569471
70,1174.1683,19.569471
71,1956.9471,9.784736
72,1956.9471,19.569471
73,2348.3367,0.0
74,3131.1155,-9.784736
75,3522.505,39.138943
76,4696.6733,48.92368
77,6653.6206,39.138943
78,9393.347,48.92368
79,12524.462,78.277885
80,14872.798,97.84736
81,18786.693,127.20157
82,23483.367,185.90997
83,29354.207,215.26419
84,34442.27,283.75732
85,40313.11,391.38943
86,46966.734,499.0215
87,53620.35,626.2231
88,59491.19,782.7789
89,64579.258,949.1194
90,68884.54,1105.6752
91,73189.83,1281.8004
92,77103.72,1418.7867
93,79452.055,1604.6967
94,81409.0,1702.5441
95,84148.734,1810.1761
96,84931.5,1898.2388
97,86105.67,1947.1625
98,88062.625,2015.6555
99,88845.4,2005.8708
100,91585.125,2045.0098
101,93933.47,2054.7944
102,94716.24,2064.5793
103,97064.58,2103.7183
104,99412.92,2123.2876
105,102544.03,2152.6418
106,104109.59,2181.996
107,106457.93,2250.4893
108,110371.81,2299.4128
109,110371.81,2367.906
110,113111.55,2446.1838
111,113502.94,2514.677
112,113111.55,2573.3855
113,113894.33,2612.5244
114,113111.55,2632.094
115,113502.94,2671.233
116,114285.71,2690.8022
117,113502.94,2700.5872
118,112720.16,2681.0176
119,112720.16,2651.6633
120,111937.375,2651.6633
121,112720.16,2632.094
122,113502.94,2602.7397
123,114285.71,2622.309
124,115068.5,2622.309
125,115851.266,2612.5244
126,117416.83,2622.309
127,117808.22,2622.309
128,118982.38,2661.4482
129,119373.78,2681.0176
130,120939.336,2729.9414
131,121330.72,2729.9414
132,120156.555,2788.6497
133,119765.164,2788.6497
134,120156.555,2808.2192
135,118591.0,2818.004
136,119765.164,2818.004
137,118591.0,2808.2192
138,118199.61,2778.865
139,118199.61,2798.4343
140,118199.61,2769.0803
141,118199.61,2778.865
142,118982.38,2759.2954
143,118591.0,2739.726
144,118982.38,2739.726
145,119373.78,2739.726
146,120547.95,2759.2954
147,120939.336,2739.726
148,120939.336,2778.865
149,121722.11,2769.0803
150,121330.72,2788.6497
151,122113.51,2788.6497
152,122113.51,2808.2192
153,121722.11,2847.3582
154,121330.72,2827.7886
155,121722.11,2818.004
156,121722.11,2837.5735
157,122113.51,2818.004
158,120156.555,2827.7886
159,120939.336,2818.004
160,120547.95,2818.004
161,120547.95,2798.4343
162,119765.164,2808.2192
163,120547.95,2798.4343
164,120156.555,2778.865
165,119765.164,2769.0803
166,121722.11,2769.0803
167,120939.336,2788.6497
168,121722.11,2788.6497
169,122504.89,2798.4343
170,122113.51,2788.6497
171,122896.28,2798.4343
172,122896.28,2827.7886
173,123287.67,2827.7886
174,122504.89,2827.7886
175,122896.28,2837.5735
176,122504.89,2857.1428
177,121722.11,2837.5735
178,122113.51,2827.7886
179,122504.89,2818.004
180,121722.11,2847.3582
181,121330.72,2827.7886
182,122113.51,2818.004
183,122504.89,2808.2192
184,121722.11,2818.004
185,121330.72,2778.865
186,121722.11,2788.6497
187,122504.89,2808.2192
188,122113.51,2818.004
189,122896.28,2837.5735
190,122896.28,2827.7886
191,123287.67,2827.7886
192,122896.28,2837.5735
193,123287.67,2847.3582
194,122896.28,2857.1428
195,122504.89,2857.1428
196,122504.89,2857.1428
197,122896.28,2857.1428
198,122113.51,2847.3582
199,122504.89,2847.3582
200,122504.89,2847.3582
201,121330.72,2827.7886
202,122504.89,2837.5735
203,122113.51,2818.004
204,122113.51,2827.7886
205,121722.11,2798.4343
206,122113.51,2788.6497
207,122504.89,2837.5735
208,122504.89,2808.2192
209,122896.28,2808.2192
210,123287.67,2857.1428
211,123287.67,2837.5735
212,122896.28,2847.3582
213,123287.67,2847.3582
214,123287.67,2827.7886
215,122896.28,2857.1428
216,122113.51,2857.1428
217,123287.67,2866.9275
218,122113.51,2857.1428
219,121722.11,2857.1428
220,122113.51,2827.7886
221,122113.51,2827.7886
222,122504.89,2837.5735
223,122504.89,2827.7886
224,122504.89,2827.7886
225,122113.51,2837.5735
226,122896.28,2827.7886
227,122896.28,2837.5735
228,123679.06,2818.004
229,124070.45,2837.5735
230,122896.28,2837.5735
231,123287.67,2837.5735
232,124070.45,2837.5735
233,124070.45,2847.3582
234,122896.28,2857.1428
235,122896.28,2866.9275
236,123287.67,2857.1428
237,123679.06,2857.1428
238,123679.06,2827.7886
239,122896.28,2837.5735
240,122504.89,2847.3582
241,122504.89,2837.5735
242,122896.28,2837.5735
243,123287.67,2818.004
244,122896.28,2837.5735
245,122504.89,2837.5735
246,122896.28,2818.004
247,123287.67,2818.004
248,122896.28,2827.7886
249,123679.06,2837.5735
250,123287.67,2818.004
251,122896.28,2837.5735
252,123287.67,2837.5735
253,123287.67,2837.5735
254,123287.67,2857.1428
255,123679.06,2847.3582
256,123679.06,2847.3582
257,122504.89,2827.7886
258,122113.51,2837.5735
259,123287.67,2837.5735
260,122896.28,2847.3582
261,122113.51,2847.3582
262,122896.28,2818.004
263,123287.67,2818.004
264,123287.67,2808.2192
