TimeStep,Channel A,Channel C
0,782.7789,29.354208
1,1174.1683,19.569471
2,1956.9471,9.784736
3,1174.1683,29.354208
4,1174.1683,9.784736
5,782.7789,29.354208
6,1174.1683,-9.784736
7,1174.1683,9.784736
8,391.38943,19.569471
9,1174.1683,19.569471
10,1565.5577,9.784736
11,782.7789,0.0
12,1174.1683,19.569471
13,1174.1683,0.0
14,782.7789,-9.784736
15,782.7789,-19.569471
16,1565.5577,9.784736
17,1174.1683,0.0
18,0.0,0.0
19,1174.1683,39.138943
20,782.7789,29.354208
21,1565.5577,19.569471
22,391.38943,9.784736
23,391.38943,29.354208
24,782.7789,9.784736
25,782.7789,0.0
26,782.7789,0.0
27,1174.1683,-9.784736
28,1174.1683,0.0
29,391.38943,9.784736
30,391.38943,9.784736
31,1174.1683,9.784736
32,391.38943,9.784736
33,1174.1683,-19.569471
34,1174.1683,29.354208
35,782.7789,0.0
36,1174.1683,0.0
37,1174.1683,0.0
38,782.7789,9.784736
39,1174.1683,-9.784736
40,1174.1683,9.784736
41,1174.1683,9.784736
42,391.38943,29.354208
43,0.0,39.138943
44,782.7789,19.569471
45,1956.9471,9.784736
46,1565.5577,9.784736
47,391.38943,9.784736
48,1956.9471,9.784736
49,1956.9471,9.784736
50,391.38943,9.784736
51,1565.5577,0.0
52,391.38943,19.569471
53,1565.5577,29.354208
54,1174.1683,9.784736
55,391.38943,0.0
56,1174.1683,19.569471
57,782.7789,9.784736
58,782.7789,9.784736
59,1174.1683,9.784736
60,1174.1683,-29.354208
61,782.7789,19.569471
62,1565.5577,9.784736
63,0.0,9.784736
64,391.38943,9.784736
65,782.7789,19.569471
66,1174.1683,19.569471
67,1565.5577,19.569471
68,782.7789,9.784736
69,1174.1683,19.569471
70,782.7789,9.784736
71,2348.3367,-9.784736
72,1565.5577,9.784736
73,1956.9471,29.354208
74,2739.726,39.138943
75,3913.8943,29.354208
76,4305.2837,29.354208
77,6653.6206,39.138943
78,7827.7886,48.92368
79,9393.347,58.708416
80,13307.241,58.708416
81,16046.967,88.06262
82,20743.64,127.20157
83,25048.924,166.34052
84,30919.766,234.83366
85,36790.605,303.3268
86,43444.227,362.03522
87,50097.848,459.88257
88,55185.906,587.08417
89,60665.36,694.71625
90,66536.2,870.8415
91,71232.875,998.043
92,75146.77,1125.2446
93,78277.88,1272.0156
94,81017.61,1369.863
95,82191.78,1457.9257
96,84540.12,1565.5577
97,85322.9,1594.912
98,87279.84,1663.405
99,88454.016,1712.3287
100,89628.19,1712.3287
101,92367.91,1731.8982
102,94324.85,1751.4677
103,95890.41,1741.683
104,98630.14,1810.1761
105,100587.08,1790.6067
106,103326.805,1849.3151
107,107240.7,1859.0999
108,109197.66,1908.0234
109,110763.21,1996.086
110,112328.766,2025.4403
111,113894.33,2103.7183
112,113894.33,2133.0725
113,114677.1,2172.2114
114,115068.5,2211.3503
115,114677.1,2260.274
116,114285.71,2270.0586
117,113502.94,2279.8435
118,113894.33,2289.6282
119,113894.33,2240.7046
120,113502.94,2240.7046
121,113502.94,2240.7046
122,114285.71,2211.3503
123,115068.5,2201.5657
124,115851.266,2181.996
125,115851.266,2201.5657
126,117025.44,2221.135
127,117416.83,2221.135
128,119373.78,2240.7046
129,120156.555,2270.0586
130,120939.336,2270.0586
131,120156.555,2299.4128
132,120939.336,2348.3367
133,121330.72,2367.906
134,120939.336,2377.691
135,120156.555,2358.1213
136,120156.555,2367.906
137,118982.38,2367.906
138,118982.38,2367.906
139,118591.0,2387.4756
140,118591.0,2367.906
141,118591.0,2338.5518
142,118591.0,2328.767
143,120156.555,2328.767
144,118982.38,2318.9824
145,119373.78,2309.1978
146,120939.336,2338.5518
147,121722.11,2338.5518
148,121330.72,2309.1978
149,121722.11,2348.3367
150,122113.51,2358.1213
151,121722.11,2367.906
152,122113.51,2358.1213
153,122896.28,2387.4756
154,121722.11,2387.4756
155,122113.51,2367.906
156,121330.72,2387.4756
157,120547.95,2387.4756
158,121330.72,2397.2603
159,121722.11,2397.2603
160,121330.72,2367.906
161,121722.11,2377.691
162,120939.336,2377.691
163,121722.11,2358.1213
164,120939.336,2328.767
165,121330.72,2348.3367
166,121722.11,2367.906
167,120939.336,2367.906
168,121722.11,2338.5518
169,122504.89,2367.906
170,122504.89,2377.691
171,122504.89,2358.1213
172,122504.89,2387.4756
173,122896.28,2387.4756
174,122896.28,2397.2603
175,122504.89,2377.691
176,123287.67,2407.045
177,122896.28,2407.045
178,122113.51,2377.691
179,121722.11,2387.4756
180,122113.51,2377.691
181,120939.336,2387.4756
182,120939.336,2416.8298
183,122113.51,2377.691
184,120939.336,2367.906
185,122113.51,2367.906
186,122504.89,2367.906
187,124070.45,2387.4756
188,124853.234,2377.691
189,123679.06,2377.691
190,124070.45,2377.691
191,123679.06,2377.691
192,124070.45,2377.691
193,122896.28,2397.2603
194,122896.28,2397.2603
195,122896.28,2407.045
196,122504.89,2397.2603
197,122504.89,2416.8298
198,122896.28,2426.6145
199,122113.51,2397.2603
200,122504.89,2407.045
201,122113.51,2397.2603
202,122896.28,2397.2603
203,122896.28,2377.691
204,122504.89,2397.2603
205,122504.89,2367.906
206,122896.28,2367.906
207,122504.89,2387.4756
208,122896.28,2377.691
209,123679.06,2367.906
210,123679.06,2397.2603
211,123679.06,2397.2603
212,124070.45,2397.2603
213,124070.45,2407.045
214,124853.234,2426.6145
215,123679.06,2416.8298
216,122896.28,2397.2603
217,124070.45,2426.6145
218,122504.89,2416.8298
219,122504.89,2387.4756
220,123679.06,2367.906
221,122504.89,2426.6145
222,122504.89,2407.045
223,122504.89,2387.4756
224,122896.28,2387.4756
225,122504.89,2387.4756
226,122896.28,2387.4756
227,123287.67,2387.4756
228,123287.67,2377.691
229,124070.45,2407.045
230,123679.06,2397.2603
231,123679.06,2397.2603
232,123679.06,2416.8298
233,123679.06,2397.2603
234,123679.06,2426.6145
235,124070.45,2407.045
236,124070.45,2397.2603
237,122896.28,2416.8298
238,122896.28,2416.8298
239,123287.67,2407.045
240,122504.89,2397.2603
241,123287.67,2377.691
242,122896.28,2397.2603
243,123287.67,2407.045
244,122504.89,2377.691
245,123287.67,2407.045
246,123287.67,2397.2603
247,123679.06,2387.4756
248,123679.06,2397.2603
249,123679.06,2377.691
250,123679.06,2387.4756
251,122896.28,2387.4756
252,123679.06,2387.4756
253,123287.67,2397.2603
254,124070.45,2397.2603
255,122896.28,2407.045
256,123287.67,2397.2603
257,123287.67,2407.045
258,123287.67,2387.4756
259,124070.45,2416.8298
260,122896.28,2387.4756
261,122113.51,2377.691
262,122896.28,2377.691
263,123287.67,2377.691
264,123287.67,2397.2603
265,123287.67,2377.691
266,123287.67,2397.2603
267,122896.28,2387.4756
268,122896.28,2387.4756
269,123287.67,2377.691
270,122896.28,2397.2603
271,122896.28,2397.2603
272,122896.28,2377.691
273,122896.28,2407.045
274,122896.28,2397.2603
275,123287.67,2387.4756
276,123287.67,2397.2603
277,122896.28,2407.045
278,123287.67,2358.1213
279,122896.28,2367.906
280,122504.89,2377.691
281,122896.28,2377.691
282,122896.28,2367.906
283,122896.28,2367.906
284,122504.89,2377.691
285,122896.28,2358.1213
286,123287.67,2367.906
287,122504.89,2377.691
288,122504.89,2367.906
289,122113.51,2358.1213
290,122113.51,2377.691
291,122113.51,2377.691
292,122113.51,2377.691
293,123287.67,2397.2603
294,122504.89,2367.906
295,122504.89,2358.1213
296,121722.11,2377.691
297,121722.11,2377.691
298,122113.51,2377.691
299,122504.89,2348.3367
300,121722.11,2358.1213
301,121722.11,2348.3367
302,122113.51,2367.906
303,121722.11,2358.1213
304,121722.11,2358.1213
305,122113.51,2338.5518
306,121330.72,2338.5518
307,122113.51,2318.9824
308,121330.72,2338.5518
309,121722.11,2348.3367
310,121330.72,2348.3367
311,121722.11,2348.3367
312,121722.11,2348.3367
313,121722.11,2358.1213
314,121330.72,2358.1213
315,120939.336,2358.1213
316,120939.336,2358.1213
317,121722.11,2367.906
318,120547.95,2338.5518
319,120939.336,2348.3367
320,120939.336,2348.3367
321,120939.336,2338.5518
322,120939.336,2318.9824
323,120547.95,2318.9824
324,120939.336,2328.767
325,120939.336,2318.9824
326,120939.336,2328.767
327,120547.95,2299.4128
328,121722.11,2328.767
329,120156.555,2338.5518
330,120547.95,2318.9824
331,120939.336,2328.767
332,120547.95,2318.9824
333,120547.95,2328.767
334,119373.78,2328.767
335,120547.95,2348.3367
336,120939.336,2318.9824
337,120939.336,2309.1978
338,120156.555,2318.9824
339,120156.555,2328.767
340,119373.78,2328.767
341,120156.555,2299.4128
342,119373.78,2328.767
343,119765.164,2299.4128
344,120156.555,2299.4128
