TimeStep,Channel A,Channel C
0,1174.1683,-9.784736
1,1174.1683,0.0
2,1174.1683,0.0
3,1565.5577,19.569471
4,1565.5577,9.784736
5,1174.1683,9.784736
6,1565.5577,-19.569471
7,782.7789,-9.784736
8,782.7789,19.569471
9,1174.1683,19.569471
10,0.0,9.784736
11,391.38943,-9.784736
12,1174.1683,0.0
13,1174.1683,19.569471
14,782.7789,-19.569471
15,782.7789,-39.138943
16,1565.5577,0.0
17,782.7789,0.0
18,391.38943,0.0
19,782.7789,9.784736
20,782.7789,9.784736
21,1565.5577,9.784736
22,1174.1683,0.0
23,1174.1683,9.784736
24,1174.1683,0.0
25,391.38943,19.569471
26,1565.5577,9.784736
27,782.7789,9.784736
28,782.7789,0.0
29,782.7789,-19.569471
30,1565.5577,9.784736
31,1565.5577,9.784736
32,782.7789,-9.784736
33,1174.1683,0.0
34,782.7789,9.784736
35,391.38943,19.569471
36,391.38943,9.784736
37,391.38943,9.784736
38,1174.1683,0.0
39,1565.5577,-9.784736
40,1565.5577,-9.784736
41,391.38943,-19.569471
42,1565.5577,-9.784736
43,391.38943,9.784736
44,1174.1683,-19.569471
45,0.0,0.0
46,782.7789,0.0
47,782.7789,-29.354208
48,391.38943,-9.784736
49,1174.1683,9.784736
50,1174.1683,9.784736
51,391.38943,0.0
52,1956.9471,0.0
53,1956.9471,-19.569471
54,1174.1683,9.784736
55,1565.5577,-9.784736
56,391.38943,-9.784736
57,782.7789,9.784736
58,782.7789,9.784736
59,1174.1683,0.0
60,1174.1683,0.0
61,1565.5577,0.0
62,1174.1683,0.0
63,782.7789,9.784736
64,782.7789,19.569471
65,782.7789,0.0
66,782.7789,9.784736
67,1174.1683,9.784736
68,1174.1683,-9.784736
69,1956.9471,0.0
70,1174.1683,-9.784736
71,1956.9471,-9.784736
72,1174.1683,0.0
73,1565.5577,-19.569471
74,2739.726,19.569471
75,3522.505,0.0
76,4305.2837,29.354208
77,6653.6206,39.138943
78,7045.01,39.138943
79,10567.515,68.49315
80,13307.241,97.84736
81,16829.746,107.632095
82,21135.03,156.55577
83,26614.482,176.12524
84,31311.154,225.04892
85,37181.996,332.68103
86,42270.06,420.74365
87,48532.29,528.37573
88,54794.523,665.36206
89,60665.36,831.7025
90,65753.42,998.043
91,70841.49,1164.3835
92,74363.99,1320.9393
93,76712.33,1467.7103
94,79843.445,1604.6967
95,82191.78,1731.8982
96,83757.336,1800.3914
97,84148.734,1888.454
98,85714.29,1927.5929
99,87671.234,1956.9471
100,89236.79,1986.3014
101,90802.34,1996.086
102,91976.516,2025.4403
103,95107.64,2035.2251
104,96281.8,2054.7944
105,99804.305,2074.364
106,102544.03,2113.503
107,104500.98,2172.2114
108,106457.93,2221.135
109,108414.875,2289.6282
110,110371.81,2358.1213
111,110763.21,2455.9688
112,112328.766,2475.538
113,113111.55,2553.8162
114,111937.375,2583.1702
115,113111.55,2622.309
116,112720.16,2641.8787
117,111545.984,2612.5244
118,111545.984,2632.094
119,111937.375,2622.309
120,111545.984,2602.7397
121,111154.6,2592.955
122,111937.375,2573.3855
123,112328.766,2583.1702
124,113894.33,2563.6008
125,113502.94,2563.6008
126,114677.1,2563.6008
127,116634.055,2573.3855
128,116634.055,2602.7397
129,117808.22,2632.094
130,118199.61,2651.6633
131,118591.0,2681.0176
132,118199.61,2700.5872
133,118199.61,2739.726
134,119373.78,2749.5107
135,118199.61,2778.865
136,118199.61,2759.2954
137,118199.61,2769.0803
138,117808.22,2769.0803
139,117025.44,2769.0803
140,116634.055,2759.2954
141,116634.055,2720.1565
142,117025.44,2700.5872
143,117025.44,2700.5872
144,117808.22,2690.8022
145,118591.0,2690.8022
146,118199.61,2710.3718
147,118591.0,2710.3718
148,119373.78,2720.1565
149,120156.555,2720.1565
150,119373.78,2729.9414
151,120156.555,2739.726
152,119765.164,2739.726
153,119765.164,2769.0803
154,120156.555,2769.0803
155,120156.555,2788.6497
156,120156.555,2788.6497
157,119373.78,2798.4343
158,119765.164,2769.0803
159,119373.78,2778.865
160,118591.0,2769.0803
161,118591.0,2759.2954
162,118982.38,2778.865
163,118982.38,2759.2954
164,118982.38,2749.5107
165,120156.555,2739.726
166,120156.555,2749.5107
167,119373.78,2729.9414
168,119765.164,2749.5107
169,120939.336,2769.0803
170,120547.95,2778.865
171,120939.336,2769.0803
172,121330.72,2778.865
173,120547.95,2769.0803
174,122113.51,2788.6497
175,121330.72,2798.4343
176,120939.336,2808.2192
177,120939.336,2788.6497
178,120156.555,2808.2192
179,120156.555,2808.2192
180,119765.164,2818.004
181,120156.555,2808.2192
182,119765.164,2769.0803
183,119765.164,2788.6497
184,119765.164,2778.865
185,120156.555,2778.865
186,120547.95,2749.5107
187,120547.95,2749.5107
188,120156.555,2769.0803
189,121330.72,2749.5107
190,121330.72,2788.6497
191,122113.51,2778.865
192,120939.336,2778.865
193,120939.336,2808.2192
194,121722.11,2808.2192
195,121330.72,2788.6497
196,121330.72,2818.004
197,121722.11,2818.004
198,120939.336,2818.004
199,121722.11,2818.004
200,120939.336,2818.004
201,120547.95,2788.6497
202,120547.95,2798.4343
203,120547.95,2778.865
204,119765.164,2778.865
205,121330.72,2769.0803
206,121330.72,2788.6497
207,121330.72,2769.0803
208,122113.51,2788.6497
209,121330.72,2778.865
210,121722.11,2788.6497
211,122113.51,2778.865
212,121722.11,2788.6497
213,121722.11,2788.6497
214,121722.11,2827.7886
215,121722.11,2827.7886
216,122504.89,2798.4343
217,122113.51,2818.004
218,121722.11,2798.4343
219,120939.336,2818.004
220,120939.336,2798.4343
221,121330.72,2788.6497
222,120156.555,2788.6497
223,121330.72,2769.0803
224,121330.72,2778.865
225,121330.72,2788.6497
226,121330.72,2769.0803
227,120939.336,2759.2954
228,120939.336,2788.6497
229,121722.11,2769.0803
230,121722.11,2778.865
231,122504.89,2788.6497
232,121722.11,2798.4343
233,122896.28,2798.4343
234,122113.51,2827.7886
235,122113.51,2818.004
236,120939.336,2808.2192
237,121330.72,2827.7886
238,121330.72,2798.4343
239,122113.51,2778.865
240,121330.72,2818.004
241,121330.72,2788.6497
242,121722.11,2798.4343
243,121330.72,2778.865
244,121330.72,2778.865
245,121330.72,2778.865
246,121330.72,2769.0803
247,121722.11,2778.865
248,122113.51,2769.0803
249,122113.51,2788.6497
250,122113.51,2798.4343
251,121722.11,2759.2954
252,122113.51,2798.4343
253,121722.11,2818.004
254,122504.89,2798.4343
255,122113.51,2808.2192
256,121330.72,2798.4343
257,121722.11,2798.4343
258,121722.11,2788.6497
259,121722.11,2818.004
260,121722.11,2778.865
261,121722.11,2808.2192
262,120939.336,2778.865
263,121722.11,2788.6497
264,121722.11,2788.6497
265,120939.336,2788.6497
266,121722.11,2769.0803
267,120547.95,2778.865
268,121722.11,2778.865
269,121330.72,2788.6497
270,120939.336,2788.6497
271,121330.72,2778.865
272,121330.72,2788.6497
273,121722.11,2769.0803
274,121722.11,2788.6497
275,120939.336,2788.6497
276,121330.72,2778.865
277,122113.51,2769.0803
278,121330.72,2769.0803
