TimeStep,Channel A,Channel C
0,1174.1683,7.827789
1,1565.5577,3.9138944
2,782.7789,3.9138944
3,1174.1683,0.0
4,782.7789,11.741683
5,782.7789,7.827789
6,1174.1683,3.9138944
7,782.7789,15.655578
8,1174.1683,3.9138944
9,1565.5577,7.827789
10,0.0,11.741683
11,1174.1683,11.741683
12,1174.1683,7.827789
13,391.38943,19.569471
14,391.38943,3.9138944
15,1565.5577,7.827789
16,1174.1683,11.741683
17,391.38943,11.741683
18,1174.1683,19.569471
19,0.0,7.827789
20,1174.1683,7.827789
21,782.7789,7.827789
22,1565.5577,7.827789
23,1174.1683,7.827789
24,1174.1683,7.827789
25,782.7789,7.827789
26,391.38943,3.9138944
27,391.38943,3.9138944
28,782.7789,7.827789
29,391.38943,19.569471
30,1174.1683,11.741683
31,782.7789,7.827789
32,391.38943,11.741683
33,782.7789,11.741683
34,1565.5577,7.827789
35,1565.5577,3.9138944
36,782.7789,11.741683
37,391.38943,3.9138944
38,1565.5577,11.741683
39,782.7789,11.741683
40,391.38943,7.827789
41,391.38943,3.9138944
42,1174.1683,15.655578
43,782.7789,11.741683
44,782.7789,7.827789
45,782.7789,11.741683
46,1565.5577,11.741683
47,782.7789,7.827789
48,391.38943,19.569471
49,782.7789,11.741683
50,782.7789,11.741683
51,782.7789,3.9138944
52,1174.1683,15.655578
53,0.0,11.741683
54,782.7789,7.827789
55,1565.5577,11.741683
56,782.7789,11.741683
57,782.7789,3.9138944
58,391.38943,3.9138944
59,-391.38943,0.0
60,1174.1683,0.0
61,782.7789,3.9138944
62,1174.1683,-7.827789
63,782.7789,0.0
64,782.7789,11.741683
65,1174.1683,0.0
66,1174.1683,3.9138944
67,782.7789,15.655578
68,1174.1683,0.0
69,1565.5577,7.827789
70,1174.1683,0.0
71,1565.5577,11.741683
72,782.7789,11.741683
73,1565.5577,15.655578
74,2348.3367,7.827789
75,3131.1155,7.827789
76,3522.505,11.741683
77,5479.452,23.483366
78,6653.6206,23.483366
79,9784.735,31.311155
80,12133.072,50.880627
81,15264.188,54.79452
82,20352.25,66.5362
83,25440.312,90.01957
84,31311.154,109.58904
85,36399.215,156.55577
86,41878.668,199.60861
87,48140.9,246.57535
88,54403.13,317.02545
89,60273.977,395.3033
90,65753.42,465.75342
91,71624.266,540.11743
92,75538.16,618.3953
93,79060.664,688.8454
94,81409.0,755.3816
95,83757.336,821.9178
96,85714.29,864.97064
97,86497.06,904.1096
98,88062.625,919.76514
99,89628.19,943.24854
100,90802.34,962.818
101,92759.3,954.99023
102,94716.24,974.5597
103,96673.195,978.4736
104,99412.92,986.3014
105,102152.65,1005.87085
106,104500.98,1021.5264
107,106849.31,1045.0098
108,108806.26,1064.5792
109,111154.6,1099.8043
110,113894.33,1127.2015
111,114285.71,1162.4266
112,115068.5,1189.8239
113,115459.88,1217.2212
114,115851.266,1236.7906
115,116634.055,1252.4462
116,115851.266,1260.2739
117,115459.88,1268.1018
118,114677.1,1272.0156
119,114677.1,1268.1018
120,115068.5,1248.5323
121,115068.5,1244.6184
122,114677.1,1236.7906
123,115459.88,1228.9628
124,117025.44,1221.135
125,117808.22,1228.9628
126,118199.61,1228.9628
127,118199.61,1240.7045
128,119373.78,1248.5323
129,122113.51,1260.2739
130,121330.72,1279.8434
131,121722.11,1287.6713
132,122113.51,1299.413
133,121722.11,1307.2407
134,121722.11,1318.9824
135,121722.11,1322.8962
136,121330.72,1330.7241
137,120547.95,1334.638
138,120156.555,1322.8962
139,119373.78,1318.9824
140,120547.95,1303.3268
141,118591.0,1307.2407
142,120939.336,1291.5851
143,120939.336,1291.5851
144,120156.555,1295.499
145,121722.11,1287.6713
146,122504.89,1291.5851
147,121722.11,1287.6713
148,123287.67,1299.413
149,123287.67,1311.1545
150,123287.67,1315.0685
151,122504.89,1322.8962
152,122896.28,1322.8962
153,124461.836,1334.638
154,122896.28,1334.638
155,122896.28,1330.7241
156,123679.06,1330.7241
157,124461.836,1334.638
158,123679.06,1334.638
159,123287.67,1334.638
160,122896.28,1326.8102
161,123679.06,1326.8102
162,122113.51,1318.9824
163,122113.51,1311.1545
164,121722.11,1307.2407
165,120939.336,1311.1545
166,121722.11,1307.2407
167,122113.51,1315.0685
168,122113.51,1322.8962
169,122896.28,1311.1545
170,123287.67,1318.9824
171,123287.67,1326.8102
172,123679.06,1322.8962
173,122504.89,1330.7241
174,123679.06,1334.638
175,124461.836,1346.3796
176,122896.28,1330.7241
177,123679.06,1338.5519
178,123679.06,1342.4657
179,123287.67,1346.3796
180,124070.45,1334.638
181,123287.67,1318.9824
182,123679.06,1322.8962
183,123287.67,1334.638
184,123287.67,1322.8962
185,122896.28,1322.8962
186,122896.28,1326.8102
187,123287.67,1330.7241
188,124070.45,1326.8102
189,123287.67,1330.7241
190,124853.234,1326.8102
191,125636.01,1334.638
192,124461.836,1334.638
193,124070.45,1338.5519
194,124461.836,1342.4657
195,124070.45,1350.2936
196,124070.45,1342.4657
197,124070.45,1342.4657
198,124461.836,1346.3796
199,123679.06,1342.4657
200,123287.67,1346.3796
