Target ID,Iteration,EMP voltage [V],Glitch offset [ns],Glitch width [ns],xPos [mm],yPos [mm],zPos [mm],Peak Voltage Chip Shouter,Peak Voltage Probe,Peak Width,Area under pulse,Rawdata Filename
,0,150,0,100,66.0,154.9,18,120939.336,1972.6028,92,219692.77,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,18_0.csv' mode='w' encoding='utf-8'>"
,1,150,0,100,66.0,154.9,18,119373.78,1929.5499,92,213309.19,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,18_1.csv' mode='w' encoding='utf-8'>"
,2,150,0,100,66.0,154.9,18,120547.95,1937.3777,93,215978.45,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,18_2.csv' mode='w' encoding='utf-8'>"
,3,150,0,100,66.0,154.9,18,122113.51,1964.7749,93,218749.52,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,18_3.csv' mode='w' encoding='utf-8'>"
,4,150,0,100,66.0,154.9,18,118591.0,1913.8943,92,210958.89,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,18_4.csv' mode='w' encoding='utf-8'>"
,5,150,0,100,66.0,154.9,18,118591.0,1909.9805,92,212872.8,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,18_5.csv' mode='w' encoding='utf-8'>"
,6,150,0,100,66.0,154.9,18,121722.11,1960.8611,92,219360.1,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,18_6.csv' mode='w' encoding='utf-8'>"
,7,150,0,100,66.0,154.9,18,121722.11,1941.2916,92,215293.55,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,18_7.csv' mode='w' encoding='utf-8'>"
,8,150,0,100,66.0,154.9,18,122896.28,1980.4305,93,219634.05,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,18_8.csv' mode='w' encoding='utf-8'>"
,9,150,0,100,66.0,154.9,18,118199.61,1894.3248,93,212677.11,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,18_9.csv' mode='w' encoding='utf-8'>"
,0,150,0,100,66.0,154.9,20,120156.555,1585.1272,92,174794.52,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,20_0.csv' mode='w' encoding='utf-8'>"
,1,150,0,100,66.0,154.9,20,119765.164,1561.6438,92,174119.39,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,20_1.csv' mode='w' encoding='utf-8'>"
,2,150,0,100,66.0,154.9,20,122896.28,1616.4384,93,179866.9,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,20_2.csv' mode='w' encoding='utf-8'>"
,3,150,0,100,66.0,154.9,20,119765.164,1565.5577,92,173823.88,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,20_3.csv' mode='w' encoding='utf-8'>"
,4,150,0,100,66.0,154.9,20,122896.28,1620.3523,92,181287.64,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,20_4.csv' mode='w' encoding='utf-8'>"
,5,150,0,100,66.0,154.9,20,123287.67,1616.4384,92,179311.14,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,20_5.csv' mode='w' encoding='utf-8'>"
,6,150,0,100,66.0,154.9,20,118982.38,1565.5577,92,174763.19,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,20_6.csv' mode='w' encoding='utf-8'>"
,7,150,0,100,66.0,154.9,20,122896.28,1600.7828,92,178418.78,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,20_7.csv' mode='w' encoding='utf-8'>"
,8,150,0,100,66.0,154.9,20,122896.28,1616.4384,92,179823.88,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,20_8.csv' mode='w' encoding='utf-8'>"
,9,150,0,100,66.0,154.9,20,121330.72,1581.2133,93,175199.6,"<_io.TextIOWrapper name='C:\\ProsjektOppgave\\emfi-studies\\_results_ZCentral\\20231110-125117\\raw_dumps\\150V\\width_100offset_0\\150_66.0,154.9,20_9.csv' mode='w' encoding='utf-8'>"
