TimeStep,Channel A,Channel C
0,782.7789,0.0
1,782.7789,-1.9569472
2,782.7789,1.9569472
3,782.7789,1.9569472
4,1565.5577,1.9569472
5,1174.1683,-1.9569472
6,1174.1683,-3.9138944
7,1565.5577,1.9569472
8,391.38943,5.8708415
9,1174.1683,-1.9569472
10,1565.5577,1.9569472
11,391.38943,-3.9138944
12,1174.1683,0.0
13,391.38943,1.9569472
14,1174.1683,-1.9569472
15,391.38943,0.0
16,782.7789,-1.9569472
17,391.38943,1.9569472
18,391.38943,5.8708415
19,391.38943,1.9569472
20,782.7789,-3.9138944
21,782.7789,0.0
22,782.7789,1.9569472
23,391.38943,3.9138944
24,782.7789,1.9569472
25,1174.1683,0.0
26,782.7789,1.9569472
27,782.7789,0.0
28,391.38943,1.9569472
29,391.38943,3.9138944
30,391.38943,0.0
31,782.7789,0.0
32,1174.1683,-3.9138944
33,782.7789,-1.9569472
34,391.38943,-3.9138944
35,391.38943,0.0
36,391.38943,-3.9138944
37,782.7789,-1.9569472
38,391.38943,-1.9569472
39,782.7789,0.0
40,1565.5577,1.9569472
41,782.7789,-3.9138944
42,1565.5577,1.9569472
43,1565.5577,1.9569472
44,391.38943,3.9138944
45,391.38943,3.9138944
46,782.7789,3.9138944
47,391.38943,-3.9138944
48,782.7789,0.0
49,1174.1683,-3.9138944
50,782.7789,0.0
51,0.0,1.9569472
52,782.7789,0.0
53,782.7789,1.9569472
54,782.7789,0.0
55,391.38943,1.9569472
56,1956.9471,3.9138944
57,1174.1683,0.0
58,782.7789,0.0
59,782.7789,0.0
60,782.7789,1.9569472
61,1565.5577,-1.9569472
62,391.38943,1.9569472
63,1956.9471,0.0
64,782.7789,1.9569472
65,782.7789,-1.9569472
66,782.7789,3.9138944
67,391.38943,3.9138944
68,391.38943,1.9569472
69,1956.9471,-1.9569472
70,391.38943,1.9569472
71,1565.5577,3.9138944
72,1956.9471,1.9569472
73,2348.3367,3.9138944
74,3131.1155,7.827789
75,3522.505,5.8708415
76,4696.6733,11.741683
77,7045.01,9.784736
78,9784.735,15.655578
79,12524.462,19.569471
80,15264.188,23.483366
81,19960.861,33.2681
82,24657.535,48.92368
83,30136.988,64.579254
84,36399.215,78.277885
85,41095.89,103.7182
86,46966.734,131.11546
87,52837.574,168.29745
88,57925.633,201.56555
89,63796.48,244.6184
90,68493.15,287.67123
91,72015.66,330.72406
92,75538.16,371.81995
93,78277.88,412.91586
94,79452.055,440.3131
95,82583.17,467.71036
96,82974.56,487.27985
97,83757.336,502.93542
98,85714.29,512.72015
99,86497.06,520.548
100,89236.79,524.46185
101,90019.57,526.41876
102,93150.69,534.2466
103,95107.64,536.20355
104,97064.58,542.07434
105,99412.92,555.773
106,102544.03,561.64386
107,105283.76,581.2133
108,105675.15,592.955
109,107632.09,610.5675
110,109589.05,624.2662
111,109197.66,641.87866
112,109197.66,653.62036
113,109589.05,667.319
114,109589.05,673.1898
115,107632.09,675.1468
116,107632.09,673.1898
117,107240.7,671.23285
118,106849.31,663.4051
119,105283.76,653.62036
120,104109.59,649.7065
121,102935.42,630.13696
122,102935.42,624.2662
123,102152.65,612.5245
124,100978.48,594.9119
125,100587.08,587.08417
126,99412.92,577.29944
127,99021.52,565.55774
128,98238.75,549.90216
129,96673.195,534.2466
130,96281.8,526.41876
131,94324.85,512.72015
132,93150.69,499.0215
133,90802.34,483.36594
134,90410.95,465.75342
135,89236.79,454.01175
136,88454.016,438.35617
137,86497.06,422.7006
138,85714.29,407.045
139,86497.06,389.4325
140,84148.734,381.6047
141,83757.336,369.863
142,82583.17,356.1644
143,83365.945,342.46576
144,82583.17,340.50882
145,82191.78,328.76712
146,81800.39,320.93933
147,81409.0,315.06848
148,80626.22,307.2407
149,79843.445,297.45596
150,79060.664,293.54208
151,78669.28,285.7143
152,78669.28,279.84344
153,77103.72,277.8865
154,77103.72,273.9726
155,76320.94,266.1448
156,74755.38,258.31702
157,74363.99,252.44618
158,74363.99,254.40314
159,73581.21,246.57535
160,73189.83,236.7906
161,72798.43,238.74756
162,72407.05,234.83366
163,72015.66,227.00587
164,71624.266,223.09198
165,71624.266,221.13503
166,71624.266,223.09198
167,70841.49,219.17809
168,70450.09,213.30724
169,70058.7,209.39334
170,69275.93,207.4364
171,69667.32,203.5225
172,69275.93,201.56555
173,67710.375,205.47945
174,67318.984,197.65166
175,66144.81,199.60861
176,65362.035,193.73776
177,65362.035,187.86693
178,64187.867,189.82387
179,63796.48,183.95303
180,64187.867,183.95303
181,63405.086,180.03914
182,62230.918,180.03914
183,61448.14,176.12524
184,61056.754,176.12524
185,61839.53,172.21135
186,60665.36,170.25441
187,60665.36,170.25441
188,59882.582,170.25441
189,59491.19,164.38356
190,59099.805,160.46967
191,59099.805,162.42662
192,59099.805,158.51273
193,57142.855,158.51273
194,57534.25,154.59883
195,56751.47,160.46967
196,55968.688,154.59883
197,55577.3,150.68494
198,54011.742,148.72798
199,54011.742,150.68494
200,53620.35,146.77104
201,53620.35,146.77104
202,52446.18,142.85715
203,51663.402,136.9863
204,52054.797,140.90019
205,50489.24,135.02936
206,50880.625,133.0724
207,50489.24,133.0724
208,50097.848,135.02936
209,49315.07,131.11546
210,48923.676,131.11546
211,48532.29,129.15851
212,48532.29,127.20157
213,48140.9,125.24462
214,46575.344,125.24462
215,46575.344,125.24462
216,46183.953,125.24462
217,44618.395,119.37378
218,44227.008,119.37378
219,43052.836,117.41683
220,42270.06,113.50294
221,42661.45,113.50294
222,41487.28,109.58904
223,41095.89,113.50294
224,40313.11,105.67515
225,40313.11,105.67515
226,40313.11,101.76125
227,39530.332,101.76125
228,39530.332,95.89041
229,39138.94,99.804306
230,38356.164,95.89041
231,37964.773,97.84736
232,37181.996,97.84736
233,37181.996,99.804306
234,37181.996,90.01957
235,36007.83,88.06262
236,35616.438,90.01957
237,35225.047,86.105675
238,35225.047,88.06262
239,35225.047,84.14873
240,34050.883,84.14873
241,33268.1,82.19178
242,34050.883,88.06262
243,34442.27,82.19178
244,32876.71,80.23483
245,32485.322,78.277885
246,32876.71,78.277885
247,32093.934,80.23483
248,32485.322,76.32094
249,32093.934,80.23483
250,32485.322,82.19178
251,31702.543,74.36399
252,31702.543,76.32094
253,30528.377,74.36399
254,32093.934,76.32094
255,32093.934,80.23483
256,31702.543,78.277885
257,30919.766,78.277885
258,31702.543,76.32094
259,30528.377,76.32094
260,30136.988,74.36399
261,30136.988,72.40704
262,30528.377,74.36399
263,30136.988,72.40704
264,30136.988,74.36399
265,30919.766,72.40704
266,30136.988,72.40704
267,30136.988,68.49315
268,30528.377,72.40704
269,30919.766,74.36399
270,30136.988,70.450096
271,29745.596,76.32094
272,30136.988,72.40704
273,29745.596,70.450096
274,30528.377,74.36399
275,30136.988,70.450096
276,29745.596,72.40704
277,29354.207,70.450096
278,30136.988,68.49315
279,28962.816,70.450096
280,29354.207,70.450096
281,30136.988,68.49315
282,30136.988,70.450096
283,28962.816,68.49315
284,29354.207,68.49315
285,29745.596,70.450096
286,29745.596,66.5362
287,29354.207,62.62231
288,29354.207,66.5362
